R1;R2;R3;R4;R5;label
0.03;0.1;0.27;1.28;3.45;4
0.02;0.17;0.46;1.48;3.95;4
0.02;0.15;0.47;1.35;4.67;4
0.03;0.12;0.4;1.36;3.65;4
0.02;0.14;0.48;1.97;7.02;4
0.03;0.16;0.56;1.62;5.38;4
0.03;0.18;0.47;1.64;4.97;4
0.05;0.16;0.46;1.81;5.82;4
0.05;0.15;0.42;1.52;5.05;4
0.04;0.16;0.6;2.09;7.12;4
0.06;0.12;0.45;1.87;7.29;4
0.05;0.14;0.48;1.92;7.55;4
0.01;0.07;0.44;1.8;4.86;4
0.02;0.1;0.44;1.72;4.6;4
0.07;0.14;0.5;1.73;6.23;4
0.06;0.15;0.5;1.85;7.31;4
0.05;0.19;0.58;1.43;3.62;4
0.03;0.14;0.44;1.99;7.42;4
0.03;0.19;0.56;1.91;5.78;4
0.06;0.17;0.3;0.72;2.46;4
0.0;0.07;0.36;1.78;6.33;4
0.03;0.1;0.53;1.59;5.27;4
0.0;0.13;0.5;1.7;6.53;4
0.02;0.09;0.34;1.12;3.26;4
0.04;0.12;0.4;1.78;7.03;4
0.04;0.14;0.47;1.87;7.32;4
0.03;0.15;0.41;1.14;3.21;4
0.01;0.07;0.38;1.28;3.82;4
0.03;0.06;0.25;1.05;3.84;4
0.02;0.11;0.59;1.7;5.04;4
0.05;0.13;0.7;2.2;6.69;4
0.02;0.1;0.37;0.97;2.58;4
0.02;0.14;0.5;1.69;7.33;4
0.02;0.11;0.36;1.63;7.53;4
0.02;0.17;0.53;2.03;7.69;4
0.02;0.09;0.38;1.54;4.43;4
0.01;0.1;0.55;2.11;7.38;4
0.03;0.14;0.54;1.89;7.74;4
0.04;0.13;0.53;2.16;6.58;4
0.03;0.15;0.53;2.02;6.27;4
0.03;0.08;0.43;1.73;7.7;4
0.02;0.09;0.37;1.82;7.69;4
0.02;0.11;0.48;1.29;4.91;4
0.05;0.19;0.62;1.57;3.99;4
0.0;0.07;0.35;1.56;4.04;4
0.02;0.1;0.55;1.57;5.18;4
0.02;0.11;0.46;1.98;4.44;4
0.03;0.14;0.58;2.01;6.59;4
0.02;0.12;0.49;1.7;7.37;4
0.01;0.08;0.42;1.66;5.65;4
0.07;0.19;0.41;1.35;4.66;4
0.03;0.12;0.47;1.73;5.97;4
0.01;0.03;0.39;1.75;7.64;4
0.05;0.08;0.29;0.83;2.36;4
